ds,yhat,yhat_lower,yhat_upper
2023-01-01,-5.1699189033841895e-06,-3.057028448789052e-05,2.0230446681122145e-05
2023-02-01,-9.463115503191842e-06,-5.727418824015585e-05,3.8347957233772164e-05
2023-03-01,-4.035166858249695e-06,-6.578906010526625e-05,5.7718726388766864e-05
2023-04-01,-1.8032515307075718e-06,-7.648316790948129e-05,7.287666484806615e-05
2023-05-01,-4.311539434579023e-06,-8.868031477547372e-05,8.005723590631566e-05
2023-06-01,-1.8277102922291121e-07,-9.443274196855232e-05,9.40671999101065e-05
2023-07-01,-1.963541264568131e-06,-0.00010406255217926774,0.00010013546965013149
2023-08-01,3.7202910465042096e-06,-0.00010668437723297684,0.00011412495932598526
2023-09-01,-4.2081840739957846e-06,-0.00012138473235875388,0.0001129683642107623
2023-10-01,1.0977908875769377e-05,-0.00011350231557001734,0.00013545813332155608
2023-11-01,-2.697534329728372e-06,-0.00013115627519388952,0.00012576120653443276
2023-12-01,-1.7439186951581813e-05,-0.00015455759503752293,0.0001196792211343593
2024-01-01,-3.724909647089095e-05,-0.00018956948568124972,0.00011507129273946782
2024-02-01,-4.1542295605809683e-05,-0.0002138028742240637,0.00013071828301244434
2024-03-01,-3.6114347229748806e-05,-0.00022623805181011704,0.0001540093573506194
2024-04-01,-3.388243193071547e-05,-0.00024092916936006736,0.0001731643054986364
2024-05-01,-3.639071983760519e-05,-0.000258580769342742,0.00018579932966753158
2024-06-01,-3.2261951432589704e-05,-0.0002691006884873226,0.00020457678562214317
2024-07-01,-3.404272166794419e-05,-0.00028422856324598314,0.0002161431199100948
2024-08-01,-2.835888935689947e-05,-0.0002916404051420255,0.0002349226264282266
2024-09-01,-3.6287364477375215e-05,-0.0003116371926509673,0.00023906246369621685
2024-10-01,-2.1101271527616895e-05,-0.00030840203593180435,0.00026619949287657056
2024-11-01,-3.477671473303871e-05,-0.0003311894634631283,0.00026163603399705093
2024-12-01,-4.9518367354967534e-05,-0.0003589796638297555,0.0002599429291198204
